"['Men', 'Designers', 'Jil Sander', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/9c/P00817332.jpg,Jil Sander,Leather Chelsea boots,€ 919,,,P00817332,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45']","Jil Sander's sophisticated minimalism is characterized by neutral tones, clean lines, and precisely-placed details. Crafted from smooth leather, these Chelsea boots are shaped to a  round-toe silhouette with tonal rubber soles and elasticated gussets.",[]
"['Men', 'Designers', 'Giorgio Armani', 'Shoes', 'Formal shoes', 'Brogues']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e2/P00820282.jpg,Giorgio Armani,Patent leather Oxford shoes,€ 749,,,P00820282,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Known for its streamlined modernity, Giorgio Armani presents an elegant take on classic silhouettes and immaculate suiting. Round off your look with these Oxford shoes, made in Italy from patent leather.",[]
"['Men', 'Designers', 'Thom Browne', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/0f/P00806081.jpg,Thom Browne,Leather low-top sneakers,€ 499,€ 253,70% off,P00806081,"['US_ 6 / EU 39', 'US_ 7 / EU 40', 'US_ 8 / EU 41', 'US_ 9 / EU 42', 'US_ 10 / EU 43', 'US_ 11 / EU 44', 'US_ 12 / EU 45']",Tricolor grosgrain trims add a preppy touch to Thom Browne’s Americana-led designs. These calfskin low-top sneakers have signature pull tabs and matching stripes on the rubber midsoles.,"['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/0f/P00806081_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/7f/P00501832.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/15/P00757042.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/21/P00831255.jpg,Manolo Blahnik,Delsa suede Chelsea boot,€ 755,,,P00831255,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","Team your cold-weather looks with the Delsa Suede Chelsea boot from Manolo Blahnik. The Italian-crafted pair is made from smooth suede and will look good paired with chinos, jeans, and pants.",[]
"['Men', 'Designers', 'Giorgio Armani', 'Shoes', 'Boots', 'Lace up boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e0/P00835289.jpg,Giorgio Armani,Leather lace-up boots,"€ 1,219",,,P00835289,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Inspired by outdoor styles, these ankle boots from Giorgio Armani are made from supple leather with lace-up fronts. They feature branded tongues and rest atop chunky soles for optimum comfort.",[]
"['Men', 'Designers', 'Gucci', 'Shoes', 'Sneakers', 'High-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e8/P00815915.jpg,Gucci,GG jacquard high-top sneakers,€ 585,,,P00815915,"['UK_ 5 / EU 39', 'UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 9 / EU 43', 'UK_ 10 / EU 44', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A historic interpretation of founder Guccio Gucci's initials, GG Supreme canvas is a key fabric at the house of Gucci. These high-top sneakers are inspired by tennis, featuring lugged rubber soles with logo midsoles.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/e8/P00815915_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/57/P00731016.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/39/P00737651.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/ec/P00737678.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/d4/P00737553.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/14/P00773750.jpg']"
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/06/P00806771.jpg,Valentino Garavani,Leather Chelsea boots,€ 825,,,P00806771,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These Chelsea boots from Valentino Garavani are a timeless addition to your edit. Made in Italy from smooth leather, the classic design features heel tabs subtly decorated with brand-signature rockstuds and elasticated sides.",[]
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Formal shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/6b/P00806770.jpg,Valentino Garavani,Leather loafers,€ 749,,,P00806770,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These loafers from Valentino Garavani are classics for a reason. Crafted from smooth black leather with round toes, this pair is suited to formalwear and office attire alike. Note the tonal Rockstud embellishing the heels.",[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'High-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/b8/P00830480.jpg,Christian Louboutin,Louis suede sneakers,€ 669,,,P00830480,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",The Louis high-top sneakers from Christian Louboutin are made from smooth navy blue suede. The design is inspired by '80s styles and has tonal grosgrain trims and discreet topstitching.,[]
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/93/P00830482.jpg,Christian Louboutin,Happyrui leather-trimmed sneakers,€ 715,,,P00830482,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",Christian Louboutin’s Happyrui sneakers are a low-top design inspired by classic tennis shoes. The modern style combines leather and suede panels with tactile monogrammed fabric and sits atop thick rubber soles.,[]
"['Men', 'Designers', 'Lanvin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/12/P00835454.jpg,Lanvin,DDB0 leather sneakers,€ 379,,,P00835454,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']",Add to your sneaker collection with the essential DDB0 pair from Lanvin. They’re made from white leather atop durable rubber soles.,[]
"['Men', 'Designers', 'The Row', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/51/P00835950.jpg,The Row,Owen Runner leather-trimmed sneakers,€ 819,,,P00835950,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Step into The Row’s effortless minimalism with the Owen Runner sneakers. This style is made in Italy from technical mesh and features leather panels, tonal laces, and sporty lugged soles.",[]
"['Men', 'Designers', 'Gucci', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/38/P00815986.jpg,Gucci,Horsebit GG canvas loafers,€ 695,,,P00815986,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46', 'UK_ 13 / EU 47']","A historic interpretation of founder Guccio Gucci's initials, GG Supreme canvas is a key fabric at the house of Gucci. These slip-on loafers continue to favor the bold with Horsebit detailing and Web Stripes.",[]
"['Men', 'Designers', 'Dolce & Gabbana', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/cb/P00816304.jpg,Dolce&Gabbana,Logo leather slides,€ 510,,,P00816304,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Sicilian culture is at the heart of Dolce&Gabbana's aesthetic, which attributes most of its bold styles to its Italian heritage. Elevate your edit with these slides crafted from leather and embossed with the brand's logo.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/cb/P00816304_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/c2/P00818680.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/28/P00818784.jpg']"
"['Men', 'Designers', 'Manolo Blahnik', 'Shoes', 'Sandals & slides']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/61/P00831202.jpg,Manolo Blahnik,Otawi leather slides,€ 529,,,P00831202,"['UK_ 6 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43', 'UK_ 9.5 / EU 43.5', 'UK_ 10 / EU 44', 'UK_ 10.5 / EU 44.5', 'UK_ 11 / EU 45', 'UK_ 12 / EU 46']","Achieve effortless elegance in the Otawi slides from Manolo Blahnik. Designed with cross-over straps, this pair is made in Italy from smooth black leather and has a cushioned leather insole for added comfort.",[]
"['Men', 'Designers', 'Burberry', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d4/P00818442.jpg,Burberry,Burberry Check felted penny loafers,€ 525,,,P00818442,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Now a house signature, the Burberry Check pattern was originally used as trench coat lining in the 1920s. The pattern animates these felted penny loafers, adding a heritage flair to a classic shoe style.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/d4/P00818442_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/5e/P00739343.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/4e/P00818431.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/74/P00818288.jpg']"
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/76/P00830481.jpg,Christian Louboutin,Louis Junior Spikes suede sneakers,€ 669,,,P00830481,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",The Louis Junior sneakers from Christian Louboutin feature small spikes on the toe box. The design is made from smooth suede and comes with the brand's signature red soles.,[]
"['Men', 'Designers', 'Maison Margiela', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/d5/P00818840.jpg,Maison Margiela,Paneled low-top sneakers,€ 525,,,P00818840,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","These low-top sneakers exemplify Maison Margiela's deconstructive essence. Boasting a paneled construction, the multicolored patterned canvas uppers are contrasted by black calfskin, white rubber soles and matching toe caps, and branded suede heel counters.",[]
"['Men', 'Designers', 'Dolce & Gabbana', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/a3/P00818763.jpg,Dolce&Gabbana,Logo leather loafers,€ 690,,,P00818763,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']","Look to Dolce&Gabbana for luxury essentials in a modern man's wardrobe. Made from smooth leather, these loafers are enhanced with silver-toned logo hardware for instant recognition.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/a3/P00818763_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/e9/P00818755.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/68/P00818757.jpg']"
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/fd/P00830472.jpg,Christian Louboutin,Alpinosol suede ankle boots,€ 925,,,P00830472,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Named for the mountains that inspired their design, the Alpinosol ankle boots are made from smooth brown suede. Finished with Christian Louboutin's iconic red soles, this pair makes every step you take a sophisticated one.",[]
"['Men', 'Designers', 'Saint Laurent', 'Shoes', 'Loafers']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/49/P00672667.jpg,Saint Laurent,Le Loafer leather penny loafers,€ 585,,,P00672667,"['EU_ 39 / EU 39', 'EU_ 39.5 / EU 39.5', 'EU_ 40 / EU 40', 'EU_ 40.5 / EU 40.5', 'EU_ 41 / EU 41', 'EU_ 41.5 / EU 41.5', 'EU_ 42 / EU 42', 'EU_ 42.5 / EU 42.5', 'EU_ 43 / EU 43', 'EU_ 43.5 / EU 43.5', 'EU_ 44 / EU 44', 'EU_ 44.5 / EU 44.5', 'EU_ 45 / EU 45', 'EU_ 45.5 / EU 45.5', 'EU_ 46 / EU 46']","Crafted from smooth leather in a rounded silhouette, the Le Loafer penny loafers from Saint Laurent feature the label's Cassandre logo. The slip-on design rests atop leather soles.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/49/P00672667_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/9c/P00645336.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/b2/P00492146.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/53/P00630699.jpg']"
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/43/P00806763.jpg,Valentino Garavani,Rockrunner suede-trimmed sneakers,€ 499,,,P00806763,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46', 'EU_ 47 / EU 47']",The Rockrunner sneakers from Valentino Garavani are made with fabric uppers that feature suede trims. This style is made in a classic round-toe silhouette with a lace-up design and set atop rubber soles.,"['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/43/P00806763_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/3b/P00806257.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/32/P00806251.jpg']"
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/e6/P00806754.jpg,Valentino Garavani,Rockstud leather Oxford shoes,€ 825,,,P00806754,"['EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","Valentino Garavani looked to ancient architecture to create the now-iconic Rockstud embellishments. These black calfskin Oxford shoes have embellished welts and exaggerated square toes that create a modern silhouette, offset by traditional lace-up vamps.",[]
"['Men', 'Designers', ""Tod's"", 'Shoes', 'Formal shoes', 'Derby']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/af/P00642289.jpg,Tod's,Suede Derby shoes,€ 499,,,P00642289,"['UK_ 6 / EU 39.5', 'UK_ 6.5 / EU 40', 'UK_ 7 / EU 41', 'UK_ 7.5 / EU 41.5', 'UK_ 8 / EU 42', 'UK_ 8.5 / EU 42.5', 'UK_ 9 / EU 43-43.5', 'UK_ 9.5 / EU 44', 'UK_ 10 / EU 44.5', 'UK_ 10.5 / EU 45', 'UK_ 11 / EU 45.5', 'UK_ 11.5 / EU 46.5', 'UK_ 12 / EU 47', 'UK_ 13 / EU 48']","Made in Italy from supple suede in brown, these Tod's Derby shoes feature a classic lace-up design with signature rubber pebbles at the soles.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/af/P00642289_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/a6/P00641933.jpg']"
"['Men', 'Designers', 'Valentino Garavani', 'Shoes', 'Sneakers', 'Low-Top']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/5c/P00806757.jpg,Valentino Garavani,VLogo Pace leather-trimmed sneakers,€ 665,,,P00806757,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","The VLogo Pace sneakers from Valentino Garavani make for a vibrant addition to your footwear edit. Crafted from mesh with leather trims, the sporty design features the brand-signature VLogo detail and is set atop dented rubber soles.","['https://img.mytheresa.com/332/376/90/jpeg/catalog/product/5c/P00806757_b1.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/3b/P00806257.jpg', 'https://img.mytheresa.com/332/376/90/jpeg/catalog/product/ac/P00806250.jpg']"
"['Men', 'Designers', 'Christian Louboutin', 'Shoes', 'Boots', 'Chelsea boots']",https://img.mytheresa.com/1094/1236/90/jpeg/catalog/product/13/P00830471.jpg,Christian Louboutin,Alpinosol suede Chelsea boots,€ 925,,,P00830471,"['EU_ 39 / EU 39', 'EU_ 40 / EU 40', 'EU_ 41 / EU 41', 'EU_ 42 / EU 42', 'EU_ 43 / EU 43', 'EU_ 44 / EU 44', 'EU_ 45 / EU 45', 'EU_ 46 / EU 46']","The mountain-inspired Alpinosol Chelsea boots are Italian-crafted from soft suede with elasticated side gussets, pull tabs, and chunky, lugged rubber soles. Finished with Christian Louboutin's iconic red soles, this pair makes every step you take a sophisticated one.",[]
